,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage charge,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,co2_other,co2_fossilcoal,co2_fossilgas,co2_fossiloil,co2_total,emission_factor
2022-01-01 00:00:00+01:00,526.0,0.0,0.0,3478.0,867.0,135.0,0.0,0.0,0.0,0.0,1070.0,1333.0,0.0,6091.0,51.0,99.0,75.0,269.0,0.0,6342.0,44.37,0.0,1280.9473999999998,74.10149999999999,1399.4188999999997,0.0688148554287962
2022-01-01 01:00:00+01:00,533.0,0.0,0.0,3874.0,847.0,121.0,0.0,0.0,0.0,0.0,1082.0,1347.0,0.0,6091.0,50.0,98.0,75.0,268.0,0.0,6398.0,43.5,0.0,1426.7941999999998,66.4169,1536.7110999999998,0.0739372161277906
2022-01-01 02:00:00+01:00,524.0,0.0,0.0,3557.0,842.0,112.0,0.0,0.0,0.0,0.0,1046.0,746.0,0.0,6092.0,50.0,96.0,75.0,265.0,0.0,6456.0,43.5,0.0,1310.0430999999999,61.4768,1415.0198999999998,0.07124615578268968
2022-01-01 03:00:00+01:00,532.0,0.0,0.0,3590.0,855.0,105.0,0.0,0.0,0.0,0.0,1045.0,733.0,0.0,6091.0,50.0,96.0,75.0,266.0,0.0,6144.0,43.5,0.0,1322.197,57.634499999999996,1423.3314999999998,0.07268570626085179
2022-01-01 04:00:00+01:00,528.0,0.0,0.0,3444.0,868.0,105.0,0.0,0.0,0.0,0.0,1049.0,755.0,0.0,6091.0,51.0,98.0,75.0,260.0,0.0,5943.0,44.37,0.0,1268.4252,57.634499999999996,1370.4296999999997,0.07112833861005863
2022-01-01 05:00:00+01:00,533.0,0.0,0.0,3446.0,850.0,105.0,0.0,0.0,0.0,0.0,1031.0,719.0,0.0,6092.0,51.0,96.0,75.0,266.0,0.0,5836.0,44.37,0.0,1269.1617999999999,57.634499999999996,1371.1662999999996,0.07178881151832459
2022-01-01 06:00:00+01:00,534.0,0.0,0.0,3651.0,856.0,106.0,0.0,0.0,0.0,0.0,1016.0,611.0,0.0,6092.0,51.0,93.0,75.0,268.0,0.0,5685.0,44.37,0.0,1344.6633,58.18339999999999,1447.2166999999997,0.07601726546906186
2022-01-01 07:00:00+01:00,539.0,0.0,0.0,3847.0,856.0,108.0,0.0,0.0,0.0,0.0,1018.0,779.0,0.0,6092.0,49.0,91.0,75.0,267.0,0.0,5583.0,42.63,0.0,1416.8500999999999,59.28119999999999,1518.7613,0.07867598943224202
2022-01-01 08:00:00+01:00,527.0,0.0,0.0,3737.0,841.0,109.0,0.0,0.0,0.0,0.0,1029.0,768.0,0.0,6094.0,50.0,95.0,144.0,268.0,0.0,5546.0,43.5,0.0,1376.3371,59.830099999999995,1479.6671999999999,0.07703390254060807
2022-01-01 09:00:00+01:00,525.0,0.0,0.0,3591.0,829.0,110.0,0.0,0.0,0.0,0.0,1037.0,729.0,0.0,6094.0,51.0,94.0,2024.0,269.0,0.0,5625.0,44.37,0.0,1322.5652999999998,60.37899999999999,1427.3142999999995,0.0680386261798074
2022-01-01 10:00:00+01:00,508.0,0.0,0.0,3304.0,792.0,107.0,0.0,0.0,0.0,0.0,1049.0,747.0,0.0,6092.0,51.0,92.0,5220.0,269.0,0.0,5201.0,44.37,0.0,1216.8631999999998,58.732299999999995,1319.9654999999996,0.056331747183339005
