,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage charge,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Waste,Wind Offshore,Wind Onshore,co2_other,co2_fossilcoal,co2_fossilgas,co2_fossiloil,co2_total,emission_factor
2022-01-01 00:00:00+01:00,543.0,505.0,6526.0,1565.0,177.0,639.0,46.0,2328.0,301.0,1366.0,0.0,32.0,0.0,1449.0,1188.42,439.35,2403.5258,97.1553,4128.4511,0.2667475027460102
2022-01-01 01:00:00+01:00,541.0,517.0,6037.0,1465.0,199.0,639.0,1.0,2052.0,242.0,1354.0,0.0,33.0,0.0,1580.0,1177.98,449.79,2223.4271,109.23109999999998,3960.4282,0.2701519918144611
2022-01-01 02:00:00+01:00,547.0,532.0,5366.0,1372.0,265.0,640.0,0.0,1888.0,200.0,1379.0,0.0,32.0,0.0,1672.0,1199.73,462.84,1976.2977999999998,145.4585,3784.3263,0.27239086590369255
2022-01-01 03:00:00+01:00,540.0,545.0,5018.0,1291.0,287.0,639.0,0.0,1768.0,155.0,1324.0,0.0,32.0,0.0,1740.0,1151.8799999999999,474.15,1848.1293999999998,157.53429999999997,3631.6936999999994,0.2722613164405127
2022-01-01 04:00:00+01:00,534.0,553.0,4478.0,1284.0,184.0,648.0,0.0,1779.0,158.0,1313.0,0.0,31.0,0.0,1848.0,1142.31,481.11,1649.2473999999997,100.99759999999999,3373.665,0.26336182669789227
2022-01-01 05:00:00+01:00,526.0,555.0,4433.0,1296.0,167.0,648.0,0.0,1757.0,160.0,1389.0,0.0,34.0,0.0,1641.0,1208.43,482.85,1632.6738999999998,91.66629999999999,3415.6202,0.27095194351895924
2022-01-01 06:00:00+01:00,521.0,553.0,4635.0,1306.0,167.0,649.0,0.0,1855.0,159.0,1344.0,0.0,33.0,0.0,1288.0,1169.28,481.11,1707.0704999999998,91.66629999999999,3449.1267999999995,0.27570957633892884
2022-01-01 07:00:00+01:00,520.0,553.0,4602.0,1304.0,177.0,648.0,0.0,2130.0,206.0,1287.0,38.0,32.0,0.0,1279.0,1119.69,481.11,1694.9165999999998,97.1553,3392.8718999999996,0.2655660535378835
2022-01-01 08:00:00+01:00,522.0,555.0,4064.0,1295.0,25.0,648.0,0.0,2282.0,239.0,1322.0,825.0,32.0,0.0,1310.0,1150.14,482.85,1496.7712,13.722499999999998,3143.4836999999998,0.2396130573976675
2022-01-01 09:00:00+01:00,523.0,555.0,3879.0,1251.0,25.0,647.0,0.0,2172.0,201.0,1248.0,2309.0,31.0,0.0,1381.0,1085.76,482.85,1428.6356999999998,13.722499999999998,3010.9682,0.2117120095626494
2022-01-01 10:00:00+01:00,523.0,555.0,4241.0,1158.0,25.0,647.0,88.0,2028.0,184.0,1246.0,3634.0,30.0,0.0,1161.0,1084.02,482.85,1561.9602999999997,13.722499999999998,3142.5527999999995,0.20248407216494843
2022-01-01 11:00:00+01:00,526.0,556.0,5210.0,1140.0,34.0,649.0,52.0,2007.0,196.0,1259.0,4232.0,30.0,0.0,1193.0,1095.33,483.71999999999997,1918.8429999999998,18.662599999999998,3516.5556,0.20583912432685555
2022-01-01 12:00:00+01:00,537.0,556.0,5090.0,1173.0,74.0,650.0,61.0,2008.0,246.0,1341.0,4522.0,32.0,0.0,1419.0,1166.67,483.71999999999997,1874.6469999999997,40.618599999999994,3565.6555999999996,0.20134708905076512
2022-01-01 13:00:00+01:00,533.0,556.0,4822.0,1105.0,84.0,635.0,16.0,1940.0,201.0,1331.0,4327.0,33.0,0.0,1758.0,1157.97,483.71999999999997,1775.9425999999999,46.1076,3463.7401999999997,0.19974281759990772
2022-01-01 14:00:00+01:00,523.0,560.0,4441.0,1172.0,87.0,635.0,0.0,1817.0,184.0,1331.0,3387.0,33.0,0.0,2052.0,1157.97,487.2,1635.6202999999998,47.75429999999999,3328.5445999999997,0.20518706694612254
2022-01-01 15:00:00+01:00,525.0,603.0,4792.0,1182.0,100.0,634.0,0.0,2087.0,221.0,1345.0,1519.0,33.0,0.0,1968.0,1170.15,524.61,1764.8935999999999,54.88999999999999,3514.5436,0.234162409221134
2022-01-01 16:00:00+01:00,523.0,599.0,6155.0,1194.0,110.0,634.0,121.0,2603.0,477.0,1350.0,147.0,31.0,0.0,1887.0,1174.5,521.13,2266.8864999999996,60.37899999999999,4022.8954999999996,0.25411505906133536
2022-01-01 17:00:00+01:00,564.0,648.0,7560.0,1216.0,161.0,645.0,1280.0,3032.0,716.0,1406.0,0.0,34.0,0.0,1670.0,1223.22,563.76,2784.3479999999995,88.37289999999999,4659.7009,0.24612829600676103
2022-01-01 18:00:00+01:00,578.0,630.0,7774.0,1221.0,235.0,652.0,1788.0,3192.0,502.0,1371.0,0.0,32.0,0.0,1430.0,1192.77,548.1,2863.1641999999997,128.99149999999997,4733.0257,0.2439075341406854
2022-01-01 19:00:00+01:00,583.0,577.0,7928.0,1217.0,289.0,652.0,2266.0,3294.0,552.0,1431.0,0.0,34.0,0.0,1200.0,1244.97,501.99,2919.8823999999995,158.63209999999998,4825.474499999999,0.2409965789342256
2022-01-01 20:00:00+01:00,572.0,555.0,8075.0,1224.0,291.0,653.0,2003.0,2847.0,742.0,1424.0,0.0,34.0,0.0,985.0,1238.8799999999999,482.85,2974.0224999999996,159.7299,4855.4824,0.25021810873486217
