,Fossil Gas,Hydro Water Reservoir,Marine,Nuclear,Other,Solar,Wind Onshore,co2_other,co2_fossilgas,co2_total,emission_factor
2022-01-01 00:00:00+01:00,0.0,7587.0,0.0,5841.0,1304.0,0.0,4014.0,1134.48,0.0,1134.48,0.060518510615597994
2022-01-01 01:00:00+01:00,0.0,7016.0,0.0,5842.0,1264.0,0.0,4045.0,1099.68,0.0,1099.68,0.0605317333626906
2022-01-01 02:00:00+01:00,0.0,7087.0,0.0,5839.0,1273.0,0.0,4021.0,1107.51,0.0,1107.51,0.06078540065861691
2022-01-01 03:00:00+01:00,0.0,7088.0,0.0,5839.0,1278.0,0.0,3949.0,1111.86,0.0,1111.86,0.061246006389776356
2022-01-01 04:00:00+01:00,0.0,6746.0,0.0,5840.0,1277.0,0.0,3763.0,1110.99,0.0,1110.99,0.063031317372064
2022-01-01 05:00:00+01:00,0.0,7173.0,0.0,5839.0,1301.0,0.0,3597.0,1131.87,0.0,1131.87,0.06319765494137353
2022-01-01 06:00:00+01:00,0.0,7498.0,0.0,5839.0,1335.0,0.0,3356.0,1161.45,0.0,1161.45,0.06442478366984691
2022-01-01 07:00:00+01:00,0.0,7974.0,0.0,5840.0,1422.0,0.0,3134.0,1237.14,0.0,1237.14,0.06734567229178008
2022-01-01 08:00:00+01:00,0.0,8820.0,0.0,5840.0,1469.0,0.0,2938.0,1278.03,0.0,1278.03,0.06702837362983165
2022-01-01 09:00:00+01:00,0.0,9061.0,0.0,5840.0,1480.0,1.0,2712.0,1287.6,0.0,1287.6,0.06743479627107991
2022-01-01 10:00:00+01:00,0.0,9221.0,0.0,5840.0,1535.0,8.0,2441.0,1335.45,0.0,1335.45,0.07012076660540825
2022-01-01 11:00:00+01:00,0.0,9253.0,0.0,5884.0,1559.0,12.0,2141.0,1356.33,0.0,1356.33,0.07195766353652713
2022-01-01 12:00:00+01:00,0.0,9218.0,0.0,6062.0,1562.0,12.0,1894.0,1358.94,0.0,1358.94,0.07248453168337957
2022-01-01 13:00:00+01:00,0.0,9239.0,0.0,6208.0,1563.0,8.0,1770.0,1359.81,0.0,1359.81,0.07237651692569726
2022-01-01 14:00:00+01:00,0.0,9410.0,0.0,6275.0,1566.0,3.0,1723.0,1362.42,0.0,1362.42,0.07179322337566528
2022-01-01 15:00:00+01:00,0.0,9812.0,0.0,6275.0,1566.0,0.0,1803.0,1362.42,0.0,1362.42,0.0700256990131579
2022-01-01 16:00:00+01:00,0.0,10094.0,0.0,6329.0,1571.0,0.0,2044.0,1366.77,0.0,1366.77,0.06820890308414013
2022-01-01 17:00:00+01:00,0.0,10114.0,0.0,6344.0,1584.0,0.0,2459.0,1378.08,0.0,1378.08,0.0672201356031413
2022-01-01 18:00:00+01:00,0.0,9944.0,0.0,6344.0,1585.0,0.0,2986.0,1378.95,0.0,1378.95,0.06610815475334388
2022-01-01 19:00:00+01:00,0.0,9775.0,0.0,6349.0,1584.0,0.0,3449.0,1378.08,0.0,1378.08,0.06513588883111972
2022-01-01 20:00:00+01:00,0.0,9554.0,0.0,6353.0,1589.0,0.0,4115.0,1382.43,0.0,1382.43,0.06396881217898293
2022-01-01 21:00:00+01:00,0.0,9212.0,0.0,6354.0,1590.0,0.0,4848.0,1383.3,0.0,1383.3,0.06286584257407744
2022-01-01 22:00:00+01:00,0.0,8742.0,0.0,6354.0,1576.0,0.0,5365.0,1371.12,0.0,1371.12,0.06221899532604256
2022-01-01 23:00:00+01:00,0.0,8332.0,0.0,6356.0,1484.0,0.0,5717.0,1291.08,0.0,1291.08,0.05898305084745763
2022-01-02 00:00:00+01:00,0.0,7066.0,0.0,6359.0,1371.0,0.0,6176.0,1192.77,0.0,1192.77,0.056874403967194356
2022-01-02 01:00:00+01:00,0.0,6520.0,0.0,6357.0,1307.0,0.0,6235.0,1137.09,0.0,1137.09,0.055687839757088985
2022-01-02 02:00:00+01:00,0.0,6271.0,0.0,6359.0,1260.0,0.0,6296.0,1096.2,0.0,1096.2,0.054304963836322204
2022-01-02 03:00:00+01:00,0.0,5353.0,0.0,6357.0,1259.0,0.0,6257.0,1095.33,0.0,1095.33,0.056971288879642146
2022-01-02 04:00:00+01:00,0.0,5056.0,0.0,6359.0,1286.0,0.0,6033.0,1118.82,0.0,1118.82,0.05972136222910216
2022-01-02 05:00:00+01:00,0.0,5120.0,0.0,6360.0,1291.0,0.0,5732.0,1123.17,0.0,1123.17,0.060702048316489225
2022-01-02 06:00:00+01:00,0.0,5447.0,0.0,6361.0,1282.0,0.0,5395.0,1115.34,0.0,1115.34,0.06033757100351636
2022-01-02 07:00:00+01:00,0.0,6597.0,0.0,6360.0,1343.0,0.0,5003.0,1168.41,0.0,1168.41,0.060529969434802884
2022-01-02 08:00:00+01:00,0.0,7220.0,0.0,6361.0,1384.0,0.0,4738.0,1204.08,0.0,1204.08,0.06111150586205146
2022-01-02 09:00:00+01:00,0.0,8377.0,0.0,6360.0,1465.0,0.0,4386.0,1274.55,0.0,1274.55,0.06190742179910627
2022-01-02 10:00:00+01:00,0.0,8845.0,0.0,6359.0,1483.0,3.0,4095.0,1290.21,0.0,1290.21,0.062074091893192206
2022-01-02 11:00:00+01:00,0.0,9036.0,0.0,6359.0,1505.0,5.0,3771.0,1309.35,0.0,1309.35,0.06332704585026117
2022-01-02 12:00:00+01:00,0.0,9128.0,0.0,6359.0,1513.0,5.0,3636.0,1316.31,0.0,1316.31,0.06377161959207403
2022-01-02 13:00:00+01:00,0.0,9257.0,0.0,6360.0,1511.0,3.0,3356.0,1314.57,0.0,1314.57,0.06416605652364914
2022-01-02 14:00:00+01:00,0.0,9463.0,0.0,6387.0,1517.0,0.0,3092.0,1319.79,0.0,1319.79,0.06450901803607215
2022-01-02 15:00:00+01:00,0.0,9710.0,0.0,6412.0,1475.0,0.0,2809.0,1283.25,0.0,1283.25,0.06288591590708616
2022-01-02 16:00:00+01:00,0.0,9775.0,0.0,6414.0,1519.0,0.0,2604.0,1321.53,0.0,1321.53,0.06506153997636865
2022-01-02 17:00:00+01:00,0.0,9904.0,0.0,6413.0,1538.0,0.0,2461.0,1338.06,0.0,1338.06,0.06586237448316598
2022-01-02 18:00:00+01:00,0.0,9770.0,0.0,6414.0,1527.0,0.0,2422.0,1328.49,0.0,1328.49,0.06598569512740277
2022-01-02 19:00:00+01:00,0.0,9569.0,0.0,6414.0,1532.0,0.0,2359.0,1332.84,0.0,1332.84,0.06706450639025863
2022-01-02 20:00:00+01:00,0.0,9394.0,0.0,6413.0,1470.0,0.0,2369.0,1278.9,0.0,1278.9,0.06509722080830704
2022-01-02 21:00:00+01:00,0.0,8605.0,0.0,6414.0,1439.0,0.0,2410.0,1251.93,0.0,1251.93,0.06635202459190163
2022-01-02 22:00:00+01:00,0.0,8364.0,0.0,6413.0,1444.0,0.0,2610.0,1256.28,0.0,1256.28,0.06671339812012107
2022-01-02 23:00:00+01:00,0.0,6718.0,0.0,6413.0,1414.0,0.0,2646.0,1230.18,0.0,1230.18,0.07155953696701763
2022-01-03 00:00:00+01:00,0.0,5453.0,0.0,6411.0,1393.0,0.0,2723.0,1211.91,0.0,1211.91,0.07583917396745933
2022-01-03 01:00:00+01:00,0.0,5268.0,0.0,6411.0,1384.0,0.0,2810.0,1204.08,0.0,1204.08,0.07585711585711585
2022-01-03 02:00:00+01:00,0.0,5224.0,0.0,6411.0,1405.0,0.0,2672.0,1222.35,0.0,1222.35,0.07779722505091649
2022-01-03 03:00:00+01:00,0.0,5246.0,0.0,6412.0,1408.0,0.0,2652.0,1224.96,0.0,1224.96,0.07793357933579335
2022-01-03 04:00:00+01:00,0.0,5781.0,0.0,6412.0,1429.0,0.0,2610.0,1243.23,0.0,1243.23,0.07659130113356333
2022-01-03 05:00:00+01:00,0.0,6262.0,0.0,6411.0,1457.0,0.0,2539.0,1267.59,0.0,1267.59,0.07604475373447717
2022-01-03 06:00:00+01:00,0.0,8234.0,0.0,6412.0,1510.0,0.0,2583.0,1313.7,0.0,1313.7,0.07010512834196062
2022-01-03 07:00:00+01:00,0.0,10015.0,0.0,6412.0,1627.0,0.0,2622.0,1415.49,0.0,1415.49,0.06846053395240859
2022-01-03 08:00:00+01:00,0.0,10350.0,0.0,6411.0,1624.0,0.0,2621.0,1412.8799999999999,0.0,1412.8799999999999,0.06726078263353327
2022-01-03 09:00:00+01:00,0.0,10419.0,0.0,6409.0,1617.0,0.0,2560.0,1406.79,0.0,1406.79,0.06697405379671506
2022-01-03 10:00:00+01:00,0.0,10306.0,0.0,6410.0,1602.0,4.0,2719.0,1393.74,0.0,1393.74,0.0662392471840692
2022-01-03 11:00:00+01:00,0.0,10379.0,0.0,6411.0,1611.0,7.0,2971.0,1401.57,0.0,1401.57,0.06555825810374666
2022-01-03 12:00:00+01:00,0.0,10429.0,0.0,6411.0,1612.0,7.0,2956.0,1402.44,0.0,1402.44,0.06548867616156899
2022-01-03 13:00:00+01:00,0.0,10465.0,0.0,6411.0,1600.0,5.0,3181.0,1392.0,0.0,1392.0,0.0642599944603453
2022-01-03 14:00:00+01:00,0.0,10428.0,0.0,6412.0,1606.0,1.0,3346.0,1397.22,0.0,1397.22,0.06411324737300968
2022-01-03 15:00:00+01:00,0.0,10435.0,0.0,6410.0,1627.0,0.0,3615.0,1415.49,0.0,1415.49,0.06408701951374111
2022-01-03 16:00:00+01:00,0.0,10364.0,0.0,6409.0,1643.0,0.0,3856.0,1429.41,0.0,1429.41,0.0641796875
2022-01-03 17:00:00+01:00,0.0,10460.0,0.0,6408.0,1650.0,0.0,4090.0,1435.5,0.0,1435.5,0.06349522292993631
2022-01-03 18:00:00+01:00,0.0,10192.0,0.0,6410.0,1644.0,0.0,4355.0,1430.28,0.0,1430.28,0.06328392549002257
2022-01-03 19:00:00+01:00,0.0,10308.0,0.0,6408.0,1654.0,0.0,4530.0,1438.98,0.0,1438.98,0.06283755458515283
2022-01-03 20:00:00+01:00,0.0,9739.0,0.0,6410.0,1622.0,0.0,4680.0,1411.14,0.0,1411.14,0.06285421584784642
2022-01-03 21:00:00+01:00,0.0,9124.0,0.0,6411.0,1547.0,0.0,4788.0,1345.89,0.0,1345.89,0.06154046639231825
2022-01-03 22:00:00+01:00,0.0,8740.0,0.0,6411.0,1502.0,0.0,4870.0,1306.74,0.0,1306.74,0.06071365515959671
2022-01-03 23:00:00+01:00,0.0,8188.0,0.0,6411.0,1437.0,0.0,5025.0,1250.19,0.0,1250.19,0.059360429229381326
2022-01-04 00:00:00+01:00,0.0,7080.0,0.0,6405.0,1364.0,0.0,5154.0,1186.68,0.0,1186.68,0.059325101234814784
2022-01-04 01:00:00+01:00,0.0,6790.0,0.0,6405.0,1341.0,0.0,5021.0,1166.67,0.0,1166.67,0.05965485503911643
2022-01-04 02:00:00+01:00,0.0,6626.0,0.0,6405.0,1325.0,0.0,4838.0,1152.75,0.0,1152.75,0.060057830572053765
2022-01-04 03:00:00+01:00,0.0,6691.0,0.0,6419.0,1329.0,0.0,4749.0,1156.23,0.0,1156.23,0.06025797373358349
2022-01-04 04:00:00+01:00,0.0,7315.0,0.0,6502.0,1375.0,0.0,4669.0,1196.25,0.0,1196.25,0.060231106188006645
2022-01-04 05:00:00+01:00,0.0,7912.0,0.0,6596.0,1469.0,0.0,4712.0,1278.03,0.0,1278.03,0.061773406157861664
2022-01-04 06:00:00+01:00,0.0,8553.0,0.0,6724.0,1565.0,0.0,4589.0,1361.55,0.0,1361.55,0.063531799729364
2022-01-04 07:00:00+01:00,0.0,8911.0,0.0,6809.0,1667.0,0.0,4431.0,1450.29,0.0,1450.29,0.06647217893482446
2022-01-04 08:00:00+01:00,0.0,9864.0,0.0,6852.0,1692.0,0.0,4154.0,1472.04,0.0,1472.04,0.06524421593830335
2022-01-04 09:00:00+01:00,0.0,9870.0,0.0,6923.0,1698.0,2.0,4062.0,1477.26,0.0,1477.26,0.06549589891376635
2022-01-04 10:00:00+01:00,0.0,10082.0,0.0,6944.0,1702.0,11.0,3720.0,1480.74,0.0,1480.74,0.06593080724876442
2022-01-04 11:00:00+01:00,0.0,10267.0,0.0,6949.0,1713.0,19.0,3535.0,1490.31,0.0,1490.31,0.06628608281812925
2022-01-04 12:00:00+01:00,0.0,10870.0,0.0,6960.0,1700.0,17.0,3243.0,1479.0,0.0,1479.0,0.06489688459850812
2022-01-04 13:00:00+01:00,0.0,10844.0,0.0,6970.0,1700.0,12.0,3128.0,1479.0,0.0,1479.0,0.0652864836232012
2022-01-04 14:00:00+01:00,0.0,10855.0,0.0,6973.0,1719.0,4.0,3110.0,1495.53,0.0,1495.53,0.06599576364679405
2022-01-04 15:00:00+01:00,0.0,10868.0,0.0,6974.0,1715.0,0.0,2992.0,1492.05,0.0,1492.05,0.0661692314515056
2022-01-04 16:00:00+01:00,0.0,10834.0,0.0,6972.0,1734.0,0.0,2868.0,1508.58,0.0,1508.58,0.06732327740092824
2022-01-04 17:00:00+01:00,0.0,10793.0,0.0,6972.0,1732.0,0.0,2771.0,1506.84,0.0,1506.84,0.06766840308963534
2022-01-04 18:00:00+01:00,0.0,10758.0,0.0,6972.0,1728.0,0.0,2656.0,1503.36,0.0,1503.36,0.06798227367278646
2022-01-04 19:00:00+01:00,0.0,10941.0,0.0,6971.0,1731.0,0.0,2577.0,1505.97,0.0,1505.97,0.06777542754275427
2022-01-04 20:00:00+01:00,0.0,10752.0,0.0,6972.0,1716.0,0.0,2567.0,1492.92,0.0,1492.92,0.06783841504975689
2022-01-04 21:00:00+01:00,0.0,10580.0,0.0,6974.0,1662.0,0.0,2460.0,1445.94,0.0,1445.94,0.06670695700313711
2022-01-04 22:00:00+01:00,0.0,10632.0,0.0,6974.0,1652.0,0.0,2454.0,1437.24,0.0,1437.24,0.06619565217391304
2022-01-04 23:00:00+01:00,0.0,10440.0,0.0,6974.0,1632.0,0.0,2331.0,1419.84,0.0,1419.84,0.06641904851008093
2022-01-05 00:00:00+01:00,0.0,10451.0,0.0,6975.0,1537.0,0.0,2243.0,1337.19,0.0,1337.19,0.06305715363576346
2022-01-05 01:00:00+01:00,0.0,10278.0,0.0,6976.0,1439.0,0.0,2252.0,1251.93,0.0,1251.93,0.05977226068274051
2022-01-05 02:00:00+01:00,0.0,10250.0,0.0,6973.0,1383.0,0.0,2270.0,1203.21,0.0,1203.21,0.057636041387238934
2022-01-05 03:00:00+01:00,0.0,10208.0,0.0,6972.0,1380.0,0.0,2284.0,1200.6,0.0,1200.6,0.05759930915371329
2022-01-05 04:00:00+01:00,0.0,10282.0,0.0,6974.0,1424.0,0.0,2233.0,1238.8799999999999,0.0,1238.8799999999999,0.05923970735905895
2022-01-05 05:00:00+01:00,0.0,10397.0,0.0,6973.0,1536.0,0.0,2284.0,1336.32,0.0,1336.32,0.06306370929683813
2022-01-05 06:00:00+01:00,0.0,11016.0,0.0,6975.0,1616.0,0.0,2311.0,1405.92,0.0,1405.92,0.06414453873528607
2022-01-05 07:00:00+01:00,0.0,11431.0,0.0,6976.0,1689.0,0.0,2303.0,1469.43,0.0,1469.43,0.06560248225367205
2022-01-05 08:00:00+01:00,0.0,11527.0,0.0,6976.0,1711.0,0.0,2137.0,1488.57,0.0,1488.57,0.0665997047111986
2022-01-05 09:00:00+01:00,0.0,11457.0,0.0,6975.0,1700.0,2.0,2162.0,1479.0,0.0,1479.0,0.06633476856835306
